name,institution,link,source,Wu-type,notes,full-text?,access
民国时期期刊全文数据库(1911-1949),上海图书馆,https://www.cnbksy.com/product/productDescription?id=12,Wu_2017,综合性全文数据库—公共图书馆,integrated within CNKBKSY,images (partially OCR),CrossAsia
晚清期刊全文数据库(1833～1911),上海图书馆,https://www.cnbksy.com/product/productDescription?id=11,Wu_2017,综合性全文数据库—公共图书馆,integrated within CNKBKSY,images (partially OCR),CrossAsia
字林洋行中英文报纸全文数据库(1850～1951),上海图书馆,https://www.cnbksy.com/product/productDescription?id=20,Wu_2017,综合性全文数据库—公共图书馆,integrated within CNKBKSY,images,subcription needed
民国时期期刊篇名数据库,上海图书馆 ,https://www.cnbksy.com/product/productDescription?id=14,Wu_2017,索引数据库,integrated within CNKBKSY,titles,CrossAsia
晚清期刊篇名数据库,上海图书馆 ,https://www.cnbksy.com/product/productDescription?id=13,Wu_2017,索引数据库,integrated within CNKBKSY,titles,CrossAsia
全国报刊索引数据库———目次库,上海图书馆 ,,Wu_2017,索引数据库,integrated within CNKBKSY,titles,CrossAsia
全国报刊索引数据库———篇名库,上海图书馆 ,,Wu_2017,索引数据库,integrated within CNKBKSY,titles,CrossAsia
全国报刊索引数据库———会议库,上海图书馆 ,,Wu_2017,特色资源数据库,integrated within CNKBKSY,titles,CrossAsia
家谱数据库,上海图书馆 ,https://jiapu.library.sh.cn/#/,Wu_2017,特色资源数据库,家谱知识服务平台？,,
音乐戏剧戏曲专题库,上海图书馆 ,not found,Wu_2017,特色资源数据库,,,
近代民国中医药专题库,上海图书馆 ,not found,Wu_2017,特色资源数据库,,,
民国时期期刊全文数据库( 1911～1949),中国人民大学图书馆,not found,Wu_2017,综合性全文数据库—高校图书馆,did not find. It's might be the subcribed part of CNBKSY?,,
民国旧报刊全文数据库,北京大学图书馆,https://dbnav.lib.pku.edu.cn/content/%E6%99%9A%E6%B8%85%E6%B0%91%E5%9B%BD%E6%97%A7%E6%8A%A5%E5%88%8A,Wu_2017,综合性全文数据库—高校图书馆,晚清民国旧报刊,search by name,campus net
民国图书全文库,北京师范大学图书馆,http://202.112.82.7:8080/V/JP463T29GEEYB34K2NFXBPLK9YRQUAR4FX6US8B5N66HITH3VB-03278?FUNC=NATIVE-LINK&RESOURCE=BNU01459&pds_handle=GUEST,Wu_2017,综合性全文数据库—高校图书馆,(requires Flash),unknown,campus net
中文珍稀期刊题录库,北京师范大学图书馆,http://digi2.lib.bnu.edu.cn:8080/digilib/search?channelid=28625,Wu_2017,索引数据库,(requires Flash),names and descriptions of journals,campus net
馆藏解放前师范学校及中小学教科书全文库,北京师范大学图书馆,http://digi2.lib.bnu.edu.cn:8080/digilib/search?channelid=40816,Wu_2017,特色资源数据库,(requires Flash),unknown,campus net
瀚文民国书库,北京瀚文典藏文化有限公司,http://www.hwshu.com/front/home/aboutus.do,Wu_2017,综合性全文数据库—公共图书馆,,full-text search,subcription needed
中国近代报刊库(大报),北京爱如生数字化技术研究中心,http://er07.com/home/pro_88.html,Wu_2017,综合性全文数据库—商业数据库,,full-text search,subcription needed
中国近代报刊库(要刊),北京爱如生数字化技术研究中心,http://er07.com/home/pro_89.html,project_research,,,full-text search,subcription needed
民国图书库,北京爱如生数字化技术研究中心,http://er07.com/home/pro_114.html,Wu_2017,综合性全文数据库—商业数据库,,full-text search,subcription needed
中国近代文献图像数据库,南京图书馆,http://www2.jslib.org.cn/was5/web/index.htm,Wu_2017,特色资源数据库,,titles/captions/pictures,free
南大图书馆馆藏民国图书数据库,南京大学图书馆,http://lib.nju.edu.cn/tszy/mgwx.htm,Wu_2017,综合性全文数据库—高校图书馆,it should be there but the webpage is EMPTY!,unknown,campus access/VPN
东北抗联数据库,吉林省图书馆,http://222.161.207.53:81/tpi/WebSearch_DBKL/Index.aspx,Wu_2017,专题数据库,chronicle/photos/persons/names of monographies/videos,,free
东北抗联大事记数据库,吉林省图书馆,http://222.161.207.53:81/tpi/WebSearch_DBKL/Index.aspx,Wu_2017,专题数据库,part of 抗联数据库,,free
东北抗联人物志数据库,吉林省图书馆,http://222.161.207.53:81/tpi/WebSearch_DBKL/Index.aspx,Wu_2017,专题数据库,part of 抗联数据库,,free
民国期刊,国家图书馆,timeout,Wu_2017,综合性全文数据库—公共图书馆,,full-text search,subcription needed
民国图书,国家图书馆,timeout,Wu_2017,综合性全文数据库—公共图书馆,,full-text search,subcription needed
民国法律,国家图书馆,timeout,Wu_2017,综合性全文数据库—公共图书馆,,full-text search,subcription needed
东京审判资源库,国家图书馆,timeout,Wu_2017,专题数据库,,unknown,
大成故纸堆,尚品大成数据技术有限公司,http://www.dachengdata.com/tuijian/,Wu_2017,综合性全文数据库—商业数据库,the integrated Dacheng database,,
大成老旧期刊全文数据库,尚品大成数据技术有限公司,http://www.dachengdata.com/tuijian/showTuijianList.action?cataid=1,Wu_2017,综合性全文数据库—商业数据库,,images,CrossAsia
大成民国图书全文数据库,尚品大成数据技术有限公司,http://tushu.dachengdata.com/tuijian/showTuijianList.action,Wu_2017,综合性全文数据库—商业数据库,,(possibly images),subcription needed
中国党史期刊数据库( ～ 1949),尚品大成数据技术有限公司,http://dangshi.dachengdata.com/tuijian/showTuijianList.action,Wu_2017,综合性全文数据库—商业数据库,,(possibly images),subcription needed
民国时期期刊全文数据库,广东省立中山图书馆,not found,Wu_2017,综合性全文数据库—公共图书馆,,,
孙中山文献全文库,广东省立中山图书馆,http://www.zslib.com.cn/Page/Page_tc.html,Wu_2017,综合性全文数据库—公共图书馆,There also exists a 孙中山多媒体资源库 – same?,unknown,library users
特藏文献数据库,广东省立中山图书馆,http://www.zslib.com.cn/Page/Page_tc.html,project_research,,"includes many databases, e.g. 孙中山文献全文库",unknown,library users
武汉大学图书馆CADAL 民国珍藏库,武汉大学图书馆,https://www.lib.whu.edu.cn/web/dzzy/detail.asp?q=IDN=WHU05725&s=detail&full=Y,Wu_2017,综合性全文数据库—高校图书馆,it is the WHU's login portal into CADAL,images,campus access/VPN
馆藏民国时期中文图书书目数据,湖北省图书馆,not found,Wu_2017,索引数据库,,,
湖南近代人物( 1840 ～ 1919),湖南图书馆,http://hnjdrw.txhn.net/,Wu_2017,特色资源数据库,"very bad connection, most pages not available",,
CALIS ,,http://www.lib.whu.edu.cn/~calis/,Wu_2017,综合性全文数据库—高校图书馆,"No link provided in article, latest update in 2004…",unknown,unknown
CADAL 大学图书馆国际合作计划,,https://cadal.edu.cn/index/home,Wu_2017,综合性全文数据库—高校图书馆,No link provided in article,images,CrossAsia
古籍研习平台,,not found,Wu_2017,深度挖掘,,,
古汉语文本自动句读系统,,not found,Wu_2017,深度挖掘,,,
全唐诗分析系统,北京大学数据分析研究中心,http://202.106.125.44:8082/tang/,Wu_2017,深度挖掘,timeout,,
上海年华,上海图书馆 ,http://memory.library.sh.cn/,Wu_2017,展示和知识提取,chronicle/photos/persons/name of old movies and journals,,free
图片上海,上海图书馆 ,not found,Wu_2017,展示和知识提取,,,
中国历史文化地图系统 (CCTS) ,台湾中央研究院,https://ccts.sinica.edu.tw/,Wu_2017,基于GIS 技术构建,,,application needed
台湾历史文化地图系统 (THCTS) ,台湾中央研究院,http://thcts.sinica.edu.tw/,Wu_2017,基于GIS 技术构建,,,application needed
Mapping Historical Text,美国北德州大学 University of North Texas ,http://mappingtexts.org/,Wu_2017,基于GIS 技术构建,,,
民國文獻大全（～1949）,北京時代瀚堂科技有限公司,http://cadal.hytung.cn/Main.aspx,Duan_2016,,,full-text search,campus access/VPN
近代报刊,北京時代瀚堂科技有限公司,https://www.neohytung.com/,Duan_2016,,,full-text search,campus access/VPN
天津日报,天津图书馆于,,Luo_2020,,,,
